Item Id,Item Name,Price,Sales,Shop Name,Commission,Rate,Commission,Product Link,Offer Link,imagem
"2Q4cFxu","Creatina Monohidratada 1kg Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino","R$ 78,90","| +250mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2Q4cFxu","https://mercadolivre.com/sec/2Q4cFxu","https://http2.mlstatic.com/D_Q_NP_2X_736821-MLA99962382095_112025-AB.webp"
"1ksEvMS","Colchão Inflável Casal Acampamento Inflador Acoplado O2flow","R$ 119","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1ksEvMS","https://mercadolivre.com/sec/1ksEvMS","https://http2.mlstatic.com/D_Q_NP_2X_608544-MLA95710708832_102025-AB.webp"
"11cqWM3","Aspirador De Pó Vertical Com Fio Portátil De Mão 2 Em 1 1450w De Potencia E 1,6 Litros De Capacidade Com Filtro Hepa Electrolux Stk15 Cinza Urban Grey","R$ 179,90","| +100mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/11cqWM3","https://mercadolivre.com/sec/11cqWM3","https://http2.mlstatic.com/D_Q_NP_2X_712841-MLA95939829519_102025-AB.webp"
"1ksEvMS","Colchão Inflável Casal Acampamento Inflador Acoplado O2flow","R$ 119","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1ksEvMS","https://mercadolivre.com/sec/1ksEvMS","https://http2.mlstatic.com/D_Q_NP_2X_608544-MLA95710708832_102025-AB.webp"
"2mgz2fE","Air Fryer Britânia 5,5l 1500w Antiaderente Redstone Bfr50 127v","R$ 249","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2mgz2fE","https://mercadolivre.com/sec/2mgz2fE","https://http2.mlstatic.com/D_Q_NP_2X_903997-MLA98261954697_112025-AB.webp"
"2v3QP44","Creatina Monohidratada 500g Soldiers Nutrition 100% Pura Importada Alta Performance Músculo Treino","R$ 159,90","| +1M vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2v3QP44","https://mercadolivre.com/sec/2v3QP44","https://http2.mlstatic.com/D_Q_NP_2X_697375-MLA100080368213_122025-AB.webp"
"1TyiwJo","Volante Gamer Logitech G29 G29 Driving Force Cor Preto","R$ 1.879","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1TyiwJo","https://mercadolivre.com/sec/1TyiwJo","https://http2.mlstatic.com/D_Q_NP_2X_730363-MLA99890032125_112025-AB.webp"
"1na6Upi","Fechadura Eletronica Digital Com Biometria Senha Kuantttum Delta Pro Tuya Wi-fi Cor Preta","R$ 373","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1na6Upi","https://mercadolivre.com/sec/1na6Upi","https://http2.mlstatic.com/D_Q_NP_2X_976860-MLA99991328859_112025-AB.webp"
"2CozRYr","Smartphone Samsung Galaxy A05s 4g 128gb 6gb Ram Câmera Traseira Tripla 50mp + 2mp + 2mp + Selfie 13mp Tela 6.7  Preto","R$ 1.112","| +100mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2CozRYr","https://mercadolivre.com/sec/2CozRYr","https://http2.mlstatic.com/D_Q_NP_2X_847424-MLA99457124620_112025-AB.webp"
"2brmPjW","Smartphone Motorola Moto G56 5g 256gb 24gb 8gb Ram+16gb 50mp Grafite","R$ 1.443","| +5mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2brmPjW","https://mercadolivre.com/sec/2brmPjW","https://http2.mlstatic.com/D_Q_NP_2X_768160-MLA99910292031_112025-AB.webp"
