Item Id,Item Name,Price,Sales,Shop Name,Commission,Rate,Commission,Product Link,Offer Link,imagem
"1gBRU4YtEb","Jogo de Panelas Teflon Munique 11 Pçs com Panela de Pressão fechamento externo de 2.5L","R$ 279,90","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/1gBRU4YtEb","https://s.shopee.com.br/1gBRU4YtEb","https://down-tx-br.img.susercontent.com/sg-11134201-7rdx9-m0uhupvpbqlh8d.webp"
"50RtSCqzww","Protetor Solar Facial L'Oréal Paris Solar Expertise Antioleosidade Fps60 Cor 1.0 Clara 40G","R$ 23,99","4mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/50RtSCqzww","https://s.shopee.com.br/50RtSCqzww","https://down-tx-br.img.susercontent.com/sg-11134201-7rbkm-lp7t83xr6lk534.webp"
"1gBRU67gRv","3L Picador De Alimentos Moedor De Carne Mixer Elétrica Processador Cozinha Casa Alho - 110v-220v","R$ 74,99","40mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/1gBRU67gRv","https://s.shopee.com.br/1gBRU67gRv","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-m676c51soj3mcc.webp"
"9UuIoV4GFM","Jogo de 6 Taças de Vidro Diamond Transparente Ambar Furta Cor Verde Azul Fume Bico De Jaca 330ml","R$ 39,98","30mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/9UuIoV4GFM","https://s.shopee.com.br/9UuIoV4GFM","https://down-tx-br.img.susercontent.com/sg-11134201-7rbm4-lqqc9g8sb9uq05.webp"
"3LJfTAwbV8","Kit Tabuas de Frios e Petisqueira Artigo para Mesa Posta Café da Manhã e Decoração Cozinha","R$ 39,54","3mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/3LJfTAwbV8","https://s.shopee.com.br/3LJfTAwbV8","https://down-tx-br.img.susercontent.com/br-11134207-7qukw-lk5fb4cc2hl6e9.webp"
"1BFAtCZa73","Espelho Adnet Couro Costurado Com Alça + Suporte 60cm 50cm 40cm 30cm Sala Quarto Banheiro Redondo","R$ 30,99","100mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/1BFAtCZa73","https://s.shopee.com.br/1BFAtCZa73","https://down-tx-br.img.susercontent.com/br-11134207-81z1k-mg2c1y927w1se8.webp"
"50RtSFpr5Q","Forno Elétrico Suggar 42 Litros Preto FE4201PT/FE4202PT","R$ 299,00","9mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/50RtSFpr5Q","https://s.shopee.com.br/50RtSFpr5Q","https://down-tx-br.img.susercontent.com/sg-11134201-7qvde-libr7qjmlyay25.webp"
"1LYb5WUDDu","Mop Giratorio Cabo Inox limpeza Cesto Em Inox 14 Lt -Balde Esfregão 360 Universal Original","R$ 49,90","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/1LYb5WUDDu","https://s.shopee.com.br/1LYb5WUDDu","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-m9kghrogq795b2.webp"
"9AHSPvV7Wu","Conjunto de Potes Herméticos com Tampa de Bambu - 5 peças","R$ 38,88","9mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/9AHSPvV7Wu","https://s.shopee.com.br/9AHSPvV7Wu","https://down-tx-br.img.susercontent.com/br-11134207-81z1k-mhneurmy1wcm1e.webp"
"5AlJeaF98g","Kit Óleo e Sérum Capilar Bifásico Dove Bond Intense Repair 110ml + Leave-In Capilar Dove Bond Intense Repair Creme 50ml","R$ 49,49","3mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/5AlJeaF98g","https://s.shopee.com.br/5AlJeaF98g","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-lyc98vev6hzp52.webp"
"1LYb5XyXOO","Air Fryer Britânia 4,2L Dura Mais 1500W BFR38","R$ 189,90","90mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/1LYb5XyXOO","https://s.shopee.com.br/1LYb5XyXOO","https://down-tx-br.img.susercontent.com/sg-11134201-822xd-mhwonf5y3tvm72.webp"
"3fwVrqKS7b","Escova De Limpeza 9 Em 1 Recarregavél Elétrica Giratória Com Cabo Alongador","R$ 63,99","70mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/3fwVrqKS7b","https://s.shopee.com.br/3fwVrqKS7b","https://down-tx-br.img.susercontent.com/br-11134207-7r98o-mdf2d1jpp1a144.webp"
"qcKUe02Lg","Conjunto Jogo de Panelas Teflon Atenas 10 Pçs Antiaderente Tampa de Vidro","R$ 172,90","20mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/qcKUe02Lg","https://s.shopee.com.br/qcKUe02Lg","https://down-tx-br.img.susercontent.com/sg-11134201-7rd5c-lwymaosspxvu9c.webp"
"7pm4pW4Fsw","Kit Tônico de Crescimento Rapunzel e Acidificante Densidade - Lola Cosmetics","R$ 59,89","10mil+ vendas","Shopee","0","","0","https://s.shopee.com.br/7pm4pW4Fsw","https://s.shopee.com.br/7pm4pW4Fsw","https://down-tx-br.img.susercontent.com/sg-11134201-7rfhs-m3ozbtai59ev85.webp"
